id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,3:03,3:04,3:05,3:08,4:03,4:04,4:05,4:08,5:03,5:04,5:05,5:08,8:03,8:04,8:05,8:08
CPI-SS02D18D12B,CADM3_CADM4,simple:Q8N126,simple:Q8NFZ8,ENSG00000162706,ENSG00000105767,FALSE,FALSE,FALSE,curated,FALSE,0.062,0.136,,,,,,,,,,,,,,,
CPI-SS0DC4D593E,EPHB6_EFNB1,simple:O15197,simple:P98172,ENSG00000106123,ENSG00000090776,TRUE,TRUE,FALSE,curated,FALSE,0.25,0.147,0.126,0.146,0.137,,,,,,,,,,,,
CPI-SS00046DCF3,EPHA4_EFNB1,simple:P54764,simple:P98172,ENSG00000116106,ENSG00000090776,FALSE,TRUE,FALSE,curated,FALSE,0.438,0.148,0.127,0.147,0.138,,,,,,,,,0.078,,0.077,0.069
CPI-CS0123BC66C,PlexinA1_complex2_SEMA6D,complex:PlexinA1_complex2,simple:Q8NFY4,,ENSG00000137872,FALSE,TRUE,FALSE,curated,FALSE,0.125,0.15,,,0.107,,,,,,,,,,,,
CPI-SS0F8EFEECF,TNF_DAG1,simple:P01375,simple:Q14118,ENSG00000232810,ENSG00000173402,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.125,0.167,,0.164,,,,,,,,,,,,,
CPI-SS0B3829651,CADM3_EPB41L1,simple:Q8N126,simple:Q9H4G0,ENSG00000162706,ENSG00000088367,FALSE,FALSE,FALSE,curated,FALSE,0.125,0.167,,,0.095,,,,,,,,,,,,
CPI-SS02FBD007E,NECTIN2_NECTIN3,simple:Q92692,simple:Q9NQS3,ENSG00000130202,ENSG00000177707,FALSE,TRUE,FALSE,curated,FALSE,0.25,0.169,,,,0.205,,,,0.187,,,,0.164,,,
CPI-SS02770D68F,NOTCH2_JAG2,simple:Q04721,simple:Q9Y219,ENSG00000134250,ENSG00000184916,FALSE,TRUE,FALSE,curated,FALSE,0.25,0.192,,,,0.216,,,,0.202,,,,0.201,,,
CPI-SS08C3D27F7,NOTCH1_JAG2,simple:P46531,simple:Q9Y219,ENSG00000148400,ENSG00000184916,FALSE,TRUE,FALSE,curated,FALSE,0.25,0.198,,,,0.193,,,,0.203,,,,0.195,,,
CPI-SS086615F9B,CSF1_CELSR3,simple:P09603,simple:Q9NYQ7,ENSG00000184371,ENSG00000008300,TRUE,FALSE,TRUE,I2D,FALSE,0.25,0.206,,,,0.366,,,,0.224,,,,0.26,,,
CPI-SS033CB0BB2,CXADR_FAM3C,simple:P78310,simple:Q92520,ENSG00000154639,ENSG00000196937,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.25,0.234,0.196,0.214,0.235,,,,,,,,,,,,
CPI-SS0A915097A,GRIN2D_IL16,simple:O15399,simple:Q14005,ENSG00000105464,ENSG00000172349,TRUE,TRUE,FALSE,I2D,FALSE,0.188,0.251,0.312,0.267,,,,,,,,,,,,,
CPI-SS0CCCF7C69,PLXNB1_SEMA4D,simple:O43157,simple:Q92854,ENSG00000164050,ENSG00000187764,TRUE,TRUE,TRUE,curated,FALSE,0.25,0.259,0.282,0.292,0.343,,,,,,,,,,,,
CPI-SC0592EC3D0,L1CAM_a5b1 complex,simple:P32004,complex:a5b1 complex,ENSG00000198910,,FALSE,FALSE,FALSE,curated,TRUE,0.125,0.264,0.262,,,,,,,,,,,,,,
CPI-SC0A05D3880,THY1_aMb2 complex,simple:P04216,complex:aMb2 complex,ENSG00000154096,,FALSE,FALSE,FALSE,curated,TRUE,0.25,0.269,0.293,0.306,0.279,,,,,,,,,,,,
CPI-SS070B0E458,GRIN2A_IL16,simple:Q12879,simple:Q14005,ENSG00000183454,ENSG00000172349,TRUE,TRUE,FALSE,I2D,FALSE,0.188,0.275,0.336,0.291,,,,,,,,,,,,,
CPI-SC06525B099,L1CAM_aVb3 complex,simple:P32004,complex:aVb3 complex,ENSG00000198910,,FALSE,FALSE,FALSE,curated,TRUE,0.25,0.282,0.299,0.286,0.268,,,,,,,,,,,,
CPI-SS0B990492C,CADM1_NECTIN3,simple:Q9BY67,simple:Q9NQS3,ENSG00000182985,ENSG00000177707,FALSE,FALSE,FALSE,curated,FALSE,0.25,0.291,,,,0.372,,,,0.245,,,,0.255,,,
CPI-SS02A0FF87F,FAM3C_CLEC2D,simple:Q92520,simple:Q9UHP7,ENSG00000196937,ENSG00000069493,TRUE,FALSE,TRUE,"IMEx,InnateDB-All,IntAct",FALSE,0.625,0.301,0.307,0.314,0.379,,,,0.341,,,,0.359,0.301,0.307,0.314,0.379
CPI-SS09C06644C,CADM3_CADM1,simple:Q8N126,simple:Q9BY67,ENSG00000162706,ENSG00000182985,FALSE,FALSE,FALSE,curated,FALSE,0.25,0.312,0.393,0.266,0.276,,,,,,,,,,,,
CPI-SS0C694CB44,VEGFA_GRIN2B,simple:P15692,simple:Q13224,ENSG00000112715,ENSG00000273079,TRUE,FALSE,TRUE,I2D,FALSE,0.062,0.341,,,,,,,,,,,,,,,
CPI-SS0A9FB762A,LGALS9_PTPRK,simple:O00182,simple:Q15262,ENSG00000168961,ENSG00000152894,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.25,0.396,,,,0.376,,,,0.441,,,,0.744,,,
CPI-SS04E690D72,PTN_PTPRZ1,simple:P21246,simple:P23471,ENSG00000105894,ENSG00000106278,TRUE,FALSE,FALSE,curated,FALSE,0.375,0.411,0.331,,0.343,0.169,,,,0.167,,,,0.206,,,
CPI-SS09808DEAE,CD74_APP,simple:P04233,simple:P05067,ENSG00000019582,ENSG00000142192,FALSE,TRUE,FALSE,curated,FALSE,0.375,0.469,,,,0.486,,0.437,,0.478,,,,0.49,,0.441,
CPI-SS0ACD487F0,L1CAM_L1CAM,simple:P32004,simple:P32004,ENSG00000198910,ENSG00000198910,FALSE,FALSE,FALSE,curated,FALSE,0.312,0.477,0.27,,0.284,0.27,,,,,,,,0.284,,,
CPI-SS0889E281D,CADM1_CADM1,simple:Q9BY67,simple:Q9BY67,ENSG00000182985,ENSG00000182985,FALSE,FALSE,FALSE,curated,FALSE,0.5,0.489,0.57,,,0.57,0.651,0.524,0.534,,0.524,,,,0.534,,
CPI-SS0FBC9234C,TNF_PTPRS,simple:P01375,simple:Q13332,ENSG00000232810,ENSG00000105426,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.062,0.497,,,,,,,,,,,,,,,
CPI-SS0D529E576,GRIN2B_IL16,simple:Q13224,simple:Q14005,ENSG00000273079,ENSG00000172349,TRUE,TRUE,FALSE,I2D,FALSE,0.312,0.5,0.561,0.515,0.443,,,,,,0.307,,,,,,
CPI-SS00F4DDF4B,PTN_PTPRS,simple:P21246,simple:Q13332,ENSG00000105894,ENSG00000105426,TRUE,FALSE,TRUE,"I2D,IMEx,InnateDB-All,IntAct",FALSE,0.438,0.767,0.46,0.495,0.499,0.525,,,,0.522,,,,0.562,,,
CPI-SS0BFB29A42,PLXNB2_PTN,simple:O15031,simple:P21246,ENSG00000196576,ENSG00000105894,TRUE,TRUE,FALSE,"I2D,IMEx,InnateDB-All,IntAct",FALSE,0.375,0.876,,,,0.954,,,0.749,0.962,,,0.757,0.94,,,
CPI-SC02E74AFA5,MMP2_aVb3 complex,simple:P08253,complex:aVb3 complex,ENSG00000087245,,TRUE,FALSE,FALSE,curated,TRUE,0.5,,0.094,,,,0.09,,,0.086,0.104,0.09,,0.086,0.103,0.09,
CPI-CS0E661878B,LIFR_OSM,complex:LIFR,simple:P13725,,ENSG00000099985,TRUE,TRUE,FALSE,curated,FALSE,0.25,,0.111,0.111,,,,,,,0.108,0.109,,,,,
CPI-SC0C6B54D7A,THY1_aXb2 complex,simple:P04216,complex:aXb2 complex,ENSG00000154096,,FALSE,FALSE,FALSE,curated,TRUE,0.062,,0.154,,,,,,,,,,,,,,
CPI-SS048A2311A,TNF_RIPK1,simple:P01375,simple:Q13546,ENSG00000232810,ENSG00000137275,TRUE,FALSE,TRUE,"I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT",FALSE,0.125,,0.211,0.214,,,,,,,,,,,,,
CPI-SS0E7D5974D,TNF_TNFRSF1B,simple:P01375,simple:P20333,ENSG00000232810,ENSG00000028137,TRUE,FALSE,TRUE,curated,FALSE,0.125,,0.257,0.256,,,,,,,,,,,,,
CPI-SC0A9458008,ICAM1_aXb2 complex,simple:P05362,complex:aXb2 complex,ENSG00000090339,,FALSE,TRUE,FALSE,curated,TRUE,0.25,,0.283,,,,0.296,,,,0.317,,,,0.298,,
CPI-SS08877A081,LGALS9_COLEC12,simple:O00182,simple:Q5KU26,ENSG00000168961,ENSG00000158270,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.188,,0.341,,,,,,,,0.385,,,,0.689,,
CPI-SS04B4619D0,TNF_TNFRSF1A,simple:P01375,simple:P19438,ENSG00000232810,ENSG00000067182,TRUE,FALSE,TRUE,curated,FALSE,0.125,,0.413,0.373,,,,,,,,,,,,,
CPI-SS0E23CEB91,LGALS9_HAVCR2,simple:O00182,simple:Q8TDQ0,ENSG00000168961,ENSG00000135077,TRUE,FALSE,TRUE,curated,FALSE,0.375,,0.549,,,,,,,,0.593,,,0.796,0.896,0.838,0.81
CPI-SS098425155,ADRB2_VEGFB,simple:P07550,simple:P49765,ENSG00000169252,ENSG00000173511,TRUE,TRUE,FALSE,InnateDB-All,FALSE,0.312,,0.551,,,,0.485,,,,0.562,0.483,,,0.495,,
CPI-SS0FF6CFDCA,ADORA3_ENTPD1,simple:P0DMS8,simple:P49961,ENSG00000282608,ENSG00000138185,FALSE,TRUE,FALSE,curated,FALSE,0.438,,0.739,,,,0.789,0.759,,,0.769,0.739,,,0.772,0.742,
CPI-SS06A999D25,PLD2_ARF1,simple:O14939,simple:P84077,ENSG00000129219,ENSG00000143761,FALSE,FALSE,FALSE,guidetopharmacology.org,FALSE,0.438,,0.751,0.763,0.774,,0.753,0.765,0.776,,,0.753,,,,,
CPI-SS014958F32,LGALS9_CD47,simple:O00182,simple:Q08722,ENSG00000168961,ENSG00000196776,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.562,,0.759,,0.989,,,,0.969,,0.803,,1.034,1.028,1.106,1.024,1.337
CPI-SS0ABC5C1B8,CD74_MIF,simple:P04233,simple:P14174,ENSG00000019582,ENSG00000240972,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,0.25,,0.765,,,,0.783,,,,0.774,,,,0.786,,
CPI-SS033E6DE7E,NRP1_VEGFB,simple:O14786,simple:P49765,ENSG00000099250,ENSG00000173511,TRUE,TRUE,FALSE,curated,FALSE,0.562,,0.815,,,0.954,1.043,0.965,0.958,,0.849,,,0.822,0.911,0.832,
CPI-SS068C129D6,CSF1_SIRPA,simple:P09603,simple:P78324,ENSG00000184371,ENSG00000198053,TRUE,FALSE,TRUE,I2D,FALSE,0.5,,1.17,1.135,,,1.33,1.296,1.179,,1.188,,,,1.224,1.19,
CPI-SS0C4E86714,TNFRSF1B_GRN,simple:P20333,simple:P28799,ENSG00000028137,ENSG00000030582,TRUE,TRUE,FALSE,"IMEx,InnateDB-All,MINT",FALSE,0.5,,1.632,,1.54,,1.66,,1.568,,1.659,,1.567,,1.644,,1.552
CPI-SS0B01CF3AB,CSF1R_CSF1,simple:P07333,simple:P09603,ENSG00000182578,ENSG00000184371,TRUE,TRUE,FALSE,curated,FALSE,0.5,,1.64,,,1.619,1.78,,1.674,1.606,1.767,,1.66,,1.73,,
CPI-SS0DA033F03,TNFRSF1A_GRN,simple:P19438,simple:P28799,ENSG00000067182,ENSG00000030582,TRUE,TRUE,FALSE,"IMEx,InnateDB-All,MINT",FALSE,0.562,,1.736,,1.644,,1.816,1.645,1.724,,1.776,,1.684,,1.776,,1.683
CPI-SS0C03F7CDC,VEGFA_KDR,simple:P15692,simple:P35968,ENSG00000112715,ENSG00000128052,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,0.072,,,,,,,,,,,,
CPI-SS03FA58286,TNF_VSIR,simple:P01375,simple:Q9H7M9,ENSG00000232810,ENSG00000107738,TRUE,FALSE,TRUE,"IMEx,IntAct",FALSE,0.062,,,0.77,,,,,,,,,,,,,
CPI-SS02B567BC7,PLXNC1_SEMA7A,simple:O60486,simple:O75326,ENSG00000136040,ENSG00000138623,FALSE,TRUE,FALSE,curated,FALSE,0.062,,,,,0.134,,,,,,,,,,,
CPI-SC07BE7830D,SPP1_a4b1 complex,simple:P10451,complex:a4b1 complex,ENSG00000118785,,TRUE,FALSE,FALSE,curated,TRUE,0.125,,,,,,0.736,,0.739,,,,,,,,
CPI-SS0B81F1BF5,TNF_SEMA4C,simple:P01375,simple:Q9C0C4,ENSG00000232810,ENSG00000168758,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.125,,,0.195,0.191,,,,,,,,,,,,
CPI-SC08923F7F7,F11R_aLb2 complex,simple:Q9Y624,complex:aLb2 complex,ENSG00000158769,,FALSE,TRUE,FALSE,curated,TRUE,0.125,,,,,,,,,,,,0.563,,,,0.567
CPI-SC0E9C058EB,PLAUR_a4b1 complex,simple:Q03405,complex:a4b1 complex,ENSG00000011422,,TRUE,TRUE,FALSE,curated,TRUE,0.125,,,,,,0.121,,0.124,,,,,,,,
CPI-SS0E00478B4,NRP2_VEGFA,simple:O60462,simple:P15692,ENSG00000118257,ENSG00000112715,TRUE,TRUE,FALSE,curated,FALSE,0.125,,,,,0.226,,,,0.199,,,,,,,
CPI-SS0DE0A486F,NRP1_VEGFA,simple:O14786,simple:P15692,ENSG00000099250,ENSG00000112715,TRUE,TRUE,FALSE,curated,FALSE,0.125,,,,,0.717,,,,,,,,0.585,,,
CPI-SS04F3A1E5C,COPA_SORT1,simple:P53621,simple:Q99523,ENSG00000122218,ENSG00000134243,TRUE,FALSE,TRUE,"IMEx,InnateDB-All,IntAct,MatrixDB",FALSE,0.125,,,,,,,,,,0.59,0.587,,,,,
CPI-SS0E9A581F8,ICAM1_ITGAL,simple:P05362,simple:P20701,ENSG00000090339,ENSG00000005844,FALSE,TRUE,TRUE,curated,FALSE,0.125,,,,,,,,0.21,,,,0.231,,,,
CPI-CS0C57A3081,PlexinA1_complex1_SEMA6D,complex:PlexinA1_complex1,simple:Q8NFY4,,ENSG00000137872,FALSE,TRUE,FALSE,curated,FALSE,0.125,,,,,,,,,,,,,0.106,,,0.063
CPI-SC0F4AC5AA2,ICAM1_aLb2 complex,simple:P05362,complex:aLb2 complex,ENSG00000090339,,FALSE,TRUE,FALSE,curated,TRUE,0.125,,,,,,,,0.21,,,,0.231,,,,
CPI-SS0D1D95883,CCL4_CCR5,simple:P13236,simple:P51681,ENSG00000275302,ENSG00000160791,TRUE,FALSE,TRUE,curated,FALSE,0.188,,,,,,,0.814,,,,0.796,,,,0.8,
CPI-SS077D7365D,CD28_CD86,simple:P10747,simple:P42081,ENSG00000178562,ENSG00000114013,FALSE,FALSE,TRUE,curated,FALSE,0.188,,,,,,0.583,0.405,0.396,,,,,,,,
CPI-SC0B6D68FD5,ICAM1_aMb2 complex,simple:P05362,complex:aMb2 complex,ENSG00000090339,,FALSE,TRUE,FALSE,curated,TRUE,0.188,,,,,,,,,,0.457,0.469,0.442,,,,
CPI-SS01946BE5C,C5AR1_RPS19,simple:P21730,simple:P39019,ENSG00000197405,ENSG00000105372,FALSE,TRUE,FALSE,guidetopharmacology.org,FALSE,0.188,,,1.799,,,,,,,,1.822,1.804,,,,
CPI-SS076D8415B,CCL3_IDE,simple:P10147,simple:P14735,ENSG00000277632,ENSG00000119912,TRUE,FALSE,TRUE,"IMEx,InnateDB-All,MINT",FALSE,0.25,,,,,0.483,0.437,0.487,0.436,,,,,,,,
CPI-SS06AA638A8,CD72_SEMA4D,simple:P21854,simple:Q92854,ENSG00000137101,ENSG00000187764,FALSE,FALSE,TRUE,curated,FALSE,0.25,,,,,,,,,,,,,0.295,0.318,0.328,0.379
CPI-SS02928C71A,PDGFB_LRP1,simple:P01127,simple:Q07954,ENSG00000100311,ENSG00000123384,TRUE,FALSE,TRUE,"I2D,InnateDB-All",FALSE,0.25,,,0.988,,,,0.984,,,,0.994,,,,0.975,
CPI-SS0302E8E8F,CD74_COPA,simple:P04233,simple:P53621,ENSG00000019582,ENSG00000122218,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.25,,,0.461,,,,0.478,,,,0.47,,,,0.481,
CPI-SS002DF6C31,LGALS9_SLC1A5,simple:O00182,simple:Q15758,ENSG00000168961,ENSG00000105281,TRUE,FALSE,TRUE,"I2D,InnateDB-All",FALSE,0.25,,,,,,,,,,,0.373,,0.666,,0.677,0.675
CPI-SS0E41702C1,IGF1_IGF1R,simple:P05019,simple:P08069,ENSG00000017427,ENSG00000140443,TRUE,FALSE,TRUE,curated,FALSE,0.25,,,,,0.815,0.828,0.767,0.745,,,,,,,,
CPI-SC01AB9BED7,SPP1_a9b1 complex,simple:P10451,complex:a9b1 complex,ENSG00000118785,,TRUE,FALSE,FALSE,curated,TRUE,0.25,,,,,0.832,0.811,0.872,0.835,,,,,,,,
CPI-SC0EEF3A379,LAMC1_a6b1 complex,simple:P11047,complex:a6b1 complex,ENSG00000135862,,TRUE,FALSE,FALSE,curated,TRUE,0.25,,,0.722,,,,0.72,,,,0.718,,,,0.722,
CPI-SS0822AEF5F,PTPRC_MRC1,simple:P08575,simple:P22897,ENSG00000081237,ENSG00000260314,FALSE,FALSE,TRUE,curated,FALSE,0.25,,,,,,,,,1.418,,1.419,,1.417,,1.418,
CPI-SS0CBC7840D,PTPRC_CD22,simple:P08575,simple:P20273,ENSG00000081237,ENSG00000012124,FALSE,FALSE,TRUE,curated,FALSE,0.25,,,,,,,,,,0.668,,0.639,,0.667,,0.638
CPI-SS05B1FA8A8,LRP6_CKLF,simple:O75581,simple:Q9UBR5,ENSG00000070018,ENSG00000217555,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.25,,,0.457,,,,0.461,,,,0.468,,,,0.458,
CPI-SS0DEDA3567,TNFSF10_RIPK1,simple:P50591,simple:Q13546,ENSG00000121858,ENSG00000137275,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.25,,,,,,,,,,,,,0.212,0.226,0.229,0.227
CPI-SC095A2C115,PLAUR_aVb3 complex,simple:Q03405,complex:aVb3 complex,ENSG00000011422,,TRUE,TRUE,FALSE,curated,TRUE,0.25,,,,,0.125,0.143,0.129,0.112,,,,,,,,
CPI-SS0415CC75D,MERTK_GAS6,simple:Q12866,simple:Q14393,ENSG00000153208,ENSG00000183087,TRUE,TRUE,FALSE,guidetopharmacology.org,FALSE,0.25,,,,,1.426,1.52,1.574,,,,1.461,,,,,
CPI-SS065F7DA2A,COPA_P2RY6,simple:P53621,simple:Q15077,ENSG00000122218,ENSG00000171631,TRUE,FALSE,TRUE,"IMEx,IntAct",FALSE,0.25,,,1.193,,,,1.212,,,,1.232,,,,1.202,
CPI-SS048346C2B,LGALS9_MRC2,simple:O00182,simple:Q9UBG0,ENSG00000168961,ENSG00000011028,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.25,,,,,,,,,0.366,,0.361,,0.669,,0.665,
CPI-SC0988E0218,SPP1_aVb3 complex,simple:P10451,complex:aVb3 complex,ENSG00000118785,,TRUE,FALSE,FALSE,curated,TRUE,0.25,,,,,0.741,0.758,0.745,0.727,,,,,,,,
CPI-SC098C06330,TGFB1_TGFbeta receptor1,simple:P01137,complex:TGFbeta receptor1,ENSG00000105329,,TRUE,FALSE,TRUE,curated,FALSE,0.312,,,,,,1.155,1.117,,,1.154,1.116,1.14,,,,
CPI-SS03105D292,CSF1_SLC7A1,simple:P09603,simple:P30825,ENSG00000184371,ENSG00000139514,TRUE,FALSE,TRUE,I2D,FALSE,0.312,,,,,0.305,,0.298,0.317,,,,,0.199,,,0.211
CPI-SS0C090A257,CCL3_CCR5,simple:P10147,simple:P51681,ENSG00000277632,ENSG00000160791,TRUE,FALSE,TRUE,curated,FALSE,0.312,,,,,0.994,0.893,1.081,0.978,,,0.881,,,,,
CPI-SS0419B80C4,LGALS9_LRP1,simple:O00182,simple:Q07954,ENSG00000168961,ENSG00000123384,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.312,,,,,,,,,,,1.18,,1.43,1.432,1.483,1.366
CPI-SC070D5A96F,JAM2_a4b1 complex,simple:P57087,complex:a4b1 complex,ENSG00000154721,,FALSE,FALSE,FALSE,curated,TRUE,0.312,,,,0.102,,0.118,,0.121,,0.106,,0.109,,,,
CPI-SS0AB21032D,PLXNB2_SEMA4C,simple:O15031,simple:Q9C0C4,ENSG00000196576,ENSG00000168758,FALSE,TRUE,TRUE,curated,FALSE,0.312,,,,,,,0.816,0.812,,0.795,0.824,0.82,,,,
CPI-SS0BD9F32BA,LGALS9_DAG1,simple:O00182,simple:Q14118,ENSG00000168961,ENSG00000173402,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.375,,,,,,,,,0.456,,0.452,,0.759,0.74,0.755,0.735
CPI-SS08DA48A5A,CCL3_CCR1,simple:P10147,simple:P32246,ENSG00000277632,ENSG00000163823,TRUE,FALSE,TRUE,curated,FALSE,0.375,,,,,0.511,0.416,0.563,0.557,,,0.363,0.357,,,,
CPI-SS055E061C9,LAMP1_FAM3C,simple:P11279,simple:Q92520,ENSG00000185896,ENSG00000196937,TRUE,TRUE,FALSE,InnateDB-All,FALSE,0.375,,,,,1.759,1.721,1.739,1.76,1.58,,,1.58,,,,
CPI-SS077B160B9,IL15_IL15RA,simple:P40933,simple:Q13261,ENSG00000164136,ENSG00000134470,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,0.375,,,,0.096,0.089,,0.093,0.124,,,,0.101,,,,0.105
CPI-SC0984894BC,TGFB1_TGFbeta receptor2,simple:P01137,complex:TGFbeta receptor2,ENSG00000105329,,TRUE,FALSE,TRUE,curated,FALSE,0.375,,,,,0.789,,0.796,0.825,0.788,,0.794,0.823,,,,
CPI-SS03A4F7DC8,AXL_GAS6,simple:P30530,simple:Q14393,ENSG00000167601,ENSG00000183087,TRUE,TRUE,FALSE,guidetopharmacology.org,FALSE,0.438,,,1.07,,,1.049,1.102,,,,1.077,,1.09,1.184,1.237,
CPI-SS09A3FA737,NAMPT_P2RY6,simple:P43490,simple:Q15077,ENSG00000105835,ENSG00000171631,TRUE,FALSE,TRUE,"IMEx,IntAct",FALSE,0.438,,,0.903,,,,0.909,,,,0.915,,0.933,0.961,1.046,0.992
CPI-SS07CCAD9BF,GRN_SORT1,simple:P28799,simple:Q99523,ENSG00000030582,ENSG00000134243,TRUE,FALSE,TRUE,"IMEx,InnateDB-All,MINT",FALSE,0.438,,,,,1.6,1.615,1.613,1.55,,,,,1.507,1.523,1.521,
CPI-SS0795802F6,CCL4_SLC7A1,simple:P13236,simple:P30825,ENSG00000275302,ENSG00000139514,TRUE,FALSE,TRUE,"IMEx,IntAct",FALSE,0.438,,,,,0.148,,0.141,0.16,0.131,,0.124,0.143,,,,0.146
CPI-SS08FAC0A55,PLXNB2_SEMA4D,simple:O15031,simple:Q92854,ENSG00000196576,ENSG00000187764,FALSE,TRUE,TRUE,curated,FALSE,0.438,,,,,,0.889,0.899,0.95,,0.897,0.907,0.958,,,,0.937
CPI-SS0C0A61F92,PLXNB2_SEMA4G,simple:O15031,simple:Q9NTN9,ENSG00000196576,ENSG00000095539,FALSE,TRUE,FALSE,curated,FALSE,0.438,,,,,0.766,0.719,0.707,,0.774,0.727,0.715,,0.752,,,
CPI-SS09C52F54E,LGALS9_SORL1,simple:O00182,simple:Q92673,ENSG00000168961,ENSG00000137642,TRUE,FALSE,TRUE,InnateDB-All,FALSE,0.438,,,,,,,,,0.383,0.382,,0.37,0.686,0.685,0.653,0.674
CPI-SS0D0252D87,AXL_IL15RA,simple:P30530,simple:Q13261,ENSG00000167601,ENSG00000134470,TRUE,TRUE,TRUE,I2D,FALSE,0.5,,,,0.096,0.093,,0.098,0.129,,,,0.103,0.228,,0.233,0.263
CPI-SS0339AE950,SIRPA_CD47,simple:P78324,simple:Q08722,ENSG00000198053,ENSG00000196776,FALSE,TRUE,TRUE,curated,FALSE,0.5,,,,1.623,1.501,1.579,1.497,1.809,,1.544,,1.775,,,,1.658
CPI-SS0C85BC9AF,PROS1_AXL,simple:P07225,simple:P30530,ENSG00000184500,ENSG00000167601,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,0.5,,,,0.64,0.581,0.613,0.588,0.748,,0.556,,0.691,,,,0.591
CPI-SC0082A7233,COL4A4_a11b1 complex,simple:P53420,complex:a11b1 complex,ENSG00000081052,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC0674C647E,COL4A3_a11b1 complex,simple:Q01955,complex:a11b1 complex,ENSG00000169031,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC03D71E025,COL7A1_a11b1 complex,simple:Q02388,complex:a11b1 complex,ENSG00000114270,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC0FF018913,COL28A1_a1b1 complex,simple:Q2UY09,complex:a1b1 complex,ENSG00000215018,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC053BBE2B1,COL16A1_a1b1 complex,simple:Q07092,complex:a1b1 complex,ENSG00000084636,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC0D7F33CFB,COL27A1_a1b1 complex,simple:Q8IZC6,complex:a1b1 complex,ENSG00000196739,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC0BD4C290F,COL14A1_a1b1 complex,simple:Q05707,complex:a1b1 complex,ENSG00000187955,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC04085F9F9,COL6A1_a11b1 complex,simple:P12109,complex:a11b1 complex,ENSG00000142156,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC0EACF2D60,COL26A1_a1b1 complex,simple:Q96A83,complex:a1b1 complex,ENSG00000160963,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC060984F83,COL14A1_a11b1 complex,simple:Q05707,complex:a11b1 complex,ENSG00000187955,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC0DF986F22,COL10A1_a11b1 complex,simple:Q03692,complex:a11b1 complex,ENSG00000123500,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC040B3EFBC,COL22A1_a1b1 complex,simple:Q8NFW1,complex:a1b1 complex,ENSG00000169436,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC0DA5EFA18,COL4A6_a1b1 complex,simple:Q14031,complex:a1b1 complex,ENSG00000197565,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC03BFF1D95,COL15A1_a11b1 complex,simple:P39059,complex:a11b1 complex,ENSG00000204291,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC0ECFACED2,COL6A3_a11b1 complex,simple:P12111,complex:a11b1 complex,ENSG00000163359,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
CPI-SC0CA323AE3,COL11A2_a11b1 complex,simple:P13942,complex:a11b1 complex,ENSG00000204248,,TRUE,FALSE,FALSE,curated,TRUE,1.625,,,,,,,,,,,,,,,,
