id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,3:03,3:04,3:05,3:08,4:03,4:04,4:05,4:08,5:03,5:04,5:05,5:08,8:03,8:04,8:05,8:08
CPI-SS0F81DBF22,EFNA4_EPHA7,simple:P52798,simple:Q15375,ENSG00000243364,ENSG00000135333,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS028688B7B,EFNA5_EPHA7,simple:P52803,simple:Q15375,ENSG00000184349,ENSG00000135333,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0C56C483F,WNT5A_ANTXR1,simple:P41221,simple:Q9H6X2,ENSG00000114251,ENSG00000169604,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0331C5A49,GDF11_ANTXR1,simple:O95390,simple:Q9H6X2,ENSG00000135414,ENSG00000169604,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0E7CBFD03,WNT5A_ROR2,simple:P41221,simple:Q01974,ENSG00000114251,ENSG00000169071,TRUE,FALSE,TRUE,I2D,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS00A6240B6,WNT1_ROR2,simple:P04628,simple:Q01974,ENSG00000125084,ENSG00000169071,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS01D785DBA,FGFR2_FGF23,simple:P21802,simple:Q9GZV9,ENSG00000066468,ENSG00000118972,TRUE,TRUE,FALSE,"I2D,IMEx,InnateDB-All,IntAct",FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS002673EFE,WNT5A_FZD3,simple:P41221,simple:Q9NPG1,ENSG00000114251,ENSG00000104290,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0F26BB901,WNT2_FZD3,simple:P09544,simple:Q9NPG1,ENSG00000105989,ENSG00000104290,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS073F3FAD5,WNT5A_ROR1,simple:P41221,simple:Q01973,ENSG00000114251,ENSG00000185483,TRUE,FALSE,TRUE,IMEx,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0898D7F7F,TNFRSF10B_TNFSF10,simple:O14763,simple:P50591,ENSG00000120889,ENSG00000121858,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS023738D54,FGFR1_FGF3,simple:P11362,simple:P11487,ENSG00000077782,ENSG00000186895,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0E0BCE16F,FGFR1_FGF5,simple:P11362,simple:P12034,ENSG00000077782,ENSG00000138675,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS039799099,FGFR1_NCAM1,simple:P11362,simple:P13591,ENSG00000077782,ENSG00000149294,TRUE,TRUE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS07833475A,FGFR1_FGF7,simple:P11362,simple:P21781,ENSG00000077782,ENSG00000140285,TRUE,TRUE,FALSE,I2D,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS038E93B77,FGFR1_FGF9,simple:P11362,simple:P31371,ENSG00000077782,ENSG00000102678,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0907A7598,FGFR2_FGF9,simple:P21802,simple:P31371,ENSG00000066468,ENSG00000102678,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS07A9A501C,FGFR3_FGF9,simple:P22607,simple:P31371,ENSG00000068078,ENSG00000102678,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS014B0FCD2,WNT1_FZD3,simple:P04628,simple:Q9NPG1,ENSG00000125084,ENSG00000104290,TRUE,FALSE,TRUE,I2D,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS087321EB5,SELL_SELPLG,simple:P14151,simple:Q14242,ENSG00000188404,ENSG00000110876,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
