Name
Xkr4
4732440D04Rik
Sntg1
Mybl1
Vcpip1
Tcf24
Slco5a1
Lactb2
Eya1
Jph1
Mcm3
Kcnq5
Rims1
Col19a1
Adgrb3
Bend6
Gm37233
Gm38336
Neurl3
Kansl3
Gm42417
Sema4c
Mgat4a
2010300C02Rik
Rev1
Aff3
Lonrf2
Tbc1d8
Rfx8
Gm16894
Pantr1
Gm8251
Col5a2
Slc40a1
Slc39a10
Nabp1
Myo1b
Gm31812
Mfsd6
1700019D03Rik
Gm28551
Stk17b
Hecw2
Pgap1
Ankrd44
Hspd1
Boll
Satb2
Clk1
Orc2
Fam126b
Ica1l
Wdr12
Pard3bos1
Klf7
D630023F18Rik
Idh1
Erbb4
Ikzf2
Bard1
Fn1
March4
Igfbp5
Tns1
Usp37
Cfap65
Ihh
Ptprn
Resp18
Obsl1
Epha4
Scg2
Wdfy1
Serpine2
Dock10
Irs1
Col4a4
Sphkap
Pid1
Dner
A530032D15Rik
Sp110
A630001G21Rik
Gm28626
Ncl
Usp40
Hjurp
Glrp1
Per2
Hdac4
Gm29480
Kif1a
Pask
Dtymk
Pdcd1
St8sia4
Slco4c1
D1Ertd622e
Gm28187
Rnf152
Bcl2
Dsel
Epb41l5
Tmem37
Dbi
Marco
Htr5b
Dpp10
Gm28928
Nckap5
Tmem163
Mcm6
Cd55
Srgap2
Tmcc2
Nfasc
Lax1
Atp2b4
Btg2
Ppfia4
Ppp1r12b
Gpr37l1
Shisa4
Nav1
Mroh3
Camsap2
Ptprc
Cfh
Cdc73
Trove2
Rgs2
Rgs1
Rgs18
Pla2g4a
BC003331
Hmcn1
Gm10138
Swt1
1700025G04Rik
Rgl1
Smg7
Dhx9
Npl
C230024C17Rik
Teddm2
Gm29291
A830008E24Rik
Cacna1e
Gm9530
Ier5
Cep350
Tdrd5
Axdnd1
Soat1
Tor3a
Rasal2
Brinp2
Rabgap1l
Zbtb37
Suco
Dnm3
Fmo1
Prrx1
Atp1b1
Dusp27
Gm16701
Pbx1
Nuf2
Rgs4
Hsd17b7
Nos1ap
Atf6
Fcgr2b
Fcgr3
Pcp4l1
Gm20045
Gm26641
B930036N10Rik
Ly9
Atp1a2
Kcnj9
Slamf8
Cadm3
Ifi206
Ifi213
Ifi207
Ifi204
Mndal
Ifi211
Ifi203
Ifi205
Rgs7
Pld5
Cep170
Akt3
Gm26801
Hnrnpu
Psen2
Stum
Gm38293
Nvl
Lbr
Enah
Mia3
C130074G19Rik
Mark1
Tgfb2
Kcnk2
Cenpf
Prox1
Atf3
Gm32200
Dtl
Rcor3
Syt14
Traf3ip3
Gm32250
Cd46
Oprk1
Rb1cc1
Rrs1
3110035E14Rik
Cspp1
Prex2
A830018L16Rik
Kcnb2
Terf1
Rdh10
Ly96
Gdap1
Crispld1
Gm29107
Col9a1
Lmbrd1
Khdrbs2
Dst
Amer3
Gm33280
Zap70
Eif5b
Gm16152
Il1r2
Il1r1
Il1rl1
Il18rap
Gm28175
Pou3f3
8430432A02Rik
Nck2
Ercc5
Gulp1
Col3a1
Dnah7b
Dnah7c
Tmeff2
Cavin2
Stat1
Ccdc150
Plcl1
Spats2l
Sgo2a
Aox4
Cflar
Fzd7
Nop58
Nbeal1
Cd28
Icos
Pard3b
Nrp2
Ino80dos
Zdbf2
Adam23
Gm26649
Creb1
Map2
Unc80
Atic
D230017M19Rik
Igfbp2
Cxcr2
Catip
Slc11a1
Plcd4
Cyp27a1
Cdk5r2
Ankzf1
Asic4
Tmem198
Slc4a3
Acsl3
Nyap2
A030005L19Rik
Sp100
2810459M11Rik
Ptma
Cops7b
Gigyf2
Dgkd
Ugt1a7c
Sh3bp4
Agap1
Ackr3
Mlph
Rbm44
Ramp1
Traf3ip1
Gm26720
Gpc1
Gpr35
Sned1
Ing5
Neu4
Cntnap5b
Cdh20
Tnfrsf11a
Zcchc2
Serpinb12
Serpinb8
Cdh7
Cntnap5a
Nifk
Sctr
Ccdc93
Mgat5
Rab3gap1
