"","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","Peak.Score","Focus.Ratio.Region.Size","Detailed.Annotation","Gene.Name"
"5734",0.713858121948588,0.799,0.421,0,4,"Anxa5",38.099998,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Anxa5"
"5735",0.705355486399982,1,0.96,0,4,"Cd63",24.825001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Cd63"
"5736",0.703159404563991,0.891,0.54,0,4,"Pld3",70.275002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Pld3"
"5737",0.656718398469625,1,0.983,0,4,"Ctsa",16.1,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ctsa"
"5738",0.646723820171014,1,1,0,4,"Itm2b",20.5,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Itm2b"
"5739",0.641024412676923,1,0.993,0,4,"Fcgr3",29.799999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Fcgr3"
"5740",0.607113418895572,0.993,0.923,0,4,"Timp2",26.525,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Timp2"
"5741",0.576149645983438,0.98,0.922,0,4,"Creg1",71.800003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Creg1"
"5742",0.566821405194877,1,0.999,0,4,"Trem2",28.900002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Trem2"
"5743",0.545776642479219,1,0.998,0,4,"Npc2",117.149994,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Npc2"
"5744",0.533666964382004,1,0.994,0,4,"Hexa",NA,NA,NA,NA
"5745",0.488556350920156,1,1,0,4,"Tyrobp",66.75,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Tyrobp"
"5746",0.483579615927856,1,1,0,4,"Clta",53.450001,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Clta"
