"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hmgn1.5",4.60001121369763e-179,0.321018402250118,0.985,0.947,1.07736862636012e-174,"6","Hmgn1"
"Reep4.5",7.49590267612196e-175,0.389980734339578,0.583,0.392,1.75561536577453e-170,"6","Reep4"
"Ran.5",1.45678369273942e-173,0.348546762265662,0.992,0.954,3.411933086765e-169,"6","Ran"
"Rdm1.4",3.20578894303351e-170,0.268234420799237,0.481,0.193,7.50827828347878e-166,"6","Rdm1"
"Sun2.5",1.43786901681447e-169,0.345018823539792,0.719,0.488,3.36763302428116e-165,"6","Sun2"
"Bub1b.5",4.40101463304285e-167,0.332267348127759,0.607,0.268,1.03076163720497e-162,"6","Bub1b"
"Gm26917.5",5.30383148099037e-165,-0.520678811934363,0.88,0.983,1.24221037116276e-160,"6","Gm26917"
"Actg1.4",1.83698237477063e-163,0.244390256607759,1,1,4.30239641995029e-159,"6","Actg1"
"Itgam.5",4.64811780631935e-163,-0.449009662806205,0.817,0.926,1.08863567141805e-158,"6","Itgam"
"Prelid1.4",1.82204083751609e-156,0.299105366673143,0.946,0.869,4.26740184554643e-152,"6","Prelid1"
"Dlgap5.5",3.98962939073219e-155,0.384782757798712,0.548,0.25,9.34411099603386e-151,"6","Dlgap5"
"Dynll1.4",3.65194657501612e-154,0.335543750392104,0.922,0.829,8.55322407334526e-150,"6","Dynll1"
"Txn1.3",1.88559417468052e-153,0.322461684308693,0.941,0.846,4.41625011651924e-149,"6","Txn1"
"Tuba1b.5",5.984403066953e-153,0.334798768303011,0.993,0.965,1.40160704231106e-148,"6","Tuba1b"
"Ptms.4",9.16381077683136e-152,0.332615341006149,0.99,0.959,2.14625612204167e-147,"6","Ptms"
"Rnf26.5",1.45127776912832e-151,0.287297654376944,0.616,0.35,3.39903766307545e-147,"6","Rnf26"
"Ube2s.5",2.22637469012776e-147,0.407801948091854,0.809,0.737,5.21439216174823e-143,"6","Ube2s"
"Lsm5.5",3.94382733024199e-144,0.293203106142102,0.752,0.555,9.23683799015977e-140,"6","Lsm5"
"H1f0.5",2.89152139403099e-143,0.381081901200541,0.858,0.626,6.77223225695998e-139,"6","H1f0"
"Diaph3.5",1.54703396255198e-142,0.330159008220049,0.626,0.31,3.62330824369299e-138,"6","Diaph3"
"Ncapd2.5",3.57666089670036e-142,0.235498239623958,0.663,0.346,8.37689748616192e-138,"6","Ncapd2"
"Nxt2.5",1.44721140905744e-141,0.304095269296253,0.613,0.386,3.38951384115343e-137,"6","Nxt2"
"C330027C09Rik.5",3.46142826996805e-140,0.280009303640417,0.431,0.175,8.10701115109216e-136,"6","C330027C09Rik"
"Kif15.5",2.50427530324393e-138,0.167210564533904,0.607,0.318,5.86526318772761e-134,"6","Kif15"
"Lockd.5",4.82685981633145e-138,0.224424537222497,0.513,0.219,1.13049883758299e-133,"6","Lockd"
"Rnaseh2c.5",8.32825023434678e-137,0.286932387968457,0.868,0.729,1.95055948738636e-132,"6","Rnaseh2c"
"Slc12a2.5",3.29266253345659e-136,-0.441312329645496,0.688,0.856,7.71174491960868e-132,"6","Slc12a2"
"Rangap1.5",3.34415052023814e-136,0.328890481668329,0.758,0.511,7.83233493344974e-132,"6","Rangap1"
"Ints6l.5",5.72971048849375e-135,-0.337743234370208,0.716,0.908,1.34195549351012e-130,"6","Ints6l"
"Plk1.5",1.36284221324385e-134,0.330245975408446,0.471,0.189,3.19191274763841e-130,"6","Plk1"
"Hist1h4i.5",8.48432342881642e-130,0.278640591023808,0.521,0.257,1.98711339026309e-125,"6","Hist1h4i"
"Igf2bp3.5",6.12255448209865e-129,0.296843635067784,0.74,0.597,1.43396348525232e-124,"6","Igf2bp3"
"Kif4.5",1.7006526134913e-128,0.248536516373902,0.527,0.242,3.98309848605797e-124,"6","Kif4"
"Nek2.5",6.37229126513169e-128,0.232122997204032,0.363,0.125,1.49245433720649e-123,"6","Nek2"
"Ddx39.5",9.01160183784392e-128,0.284462558442708,0.787,0.598,2.11060726644142e-123,"6","Ddx39"
"Emp3.5",1.07694816866886e-127,0.375893499706478,0.921,0.797,2.52232030583933e-123,"6","Emp3"
"Spc24.5",2.19749141772961e-127,0.199342076656757,0.641,0.346,5.14674464946452e-123,"6","Spc24"
"Dtl.4",3.37611730787691e-126,-0.357226641568621,0.095,0.327,7.90720434677852e-122,"6","Dtl"
"Cd63.5",8.9930181275987e-126,-0.481249180171851,0.935,0.969,2.10625477566489e-121,"6","Cd63"
"Ckap2l.5",5.80862809888659e-125,0.3242647277479,0.547,0.26,1.36043878704023e-120,"6","Ckap2l"
"Pbk.5",1.30993537937558e-124,0.180795235310296,0.528,0.265,3.06799965203555e-120,"6","Pbk"
"Mcm6.4",2.95100395890273e-123,-0.400798655394932,0.263,0.528,6.91154637214608e-119,"6","Mcm6"
"Kif11.5",4.17543593437095e-123,0.268251913568488,0.54,0.261,9.7792885018902e-119,"6","Kif11"
"Mcm3.4",4.18062508560829e-122,-0.43725324890332,0.499,0.716,9.79144201300319e-118,"6","Mcm3"
"Ly6e.5",7.54846383369762e-121,0.282120987516973,0.997,0.99,1.76792571449032e-116,"6","Ly6e"
"Hacd4.5",7.44304850714188e-120,0.308974926841464,0.811,0.628,1.7432363908577e-115,"6","Hacd4"
