"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hist1h1b",0,2.11206101595536,0.999,0.343,0,"1","Hist1h1b"
"Hist1h2ap",0,2.0602589490311,0.999,0.377,0,"1","Hist1h2ap"
"Hist1h2ae",0,1.96145532345496,0.999,0.27,0,"1","Hist1h2ae"
"Top2a",0,1.85718009847278,1,0.372,0,"1","Top2a"
"Mki67",0,1.84868275700493,1,0.411,0,"1","Mki67"
"Hist1h1e",0,1.50486429863683,1,0.791,0,"1","Hist1h1e"
"Prc1",0,1.42506169107302,0.998,0.208,0,"1","Prc1"
"Cenpf",0,1.42150326098125,0.997,0.294,0,"1","Cenpf"
"Hist2h2ac",0,1.40067971198795,0.988,0.347,0,"1","Hist2h2ac"
"Hist1h2ab",0,1.37218232161996,0.974,0.133,0,"1","Hist1h2ab"
"Hist1h3c",0,1.33450440496986,0.97,0.134,0,"1","Hist1h3c"
"Smc4",0,1.32740310058849,0.999,0.446,0,"1","Smc4"
"H2afx",0,1.29370333897101,0.997,0.423,0,"1","H2afx"
"Smc2",0,1.26034537444859,0.997,0.486,0,"1","Smc2"
"Cenpe",0,1.25859543592491,0.995,0.299,0,"1","Cenpe"
"Nusap1",0,1.23156337652694,0.986,0.176,0,"1","Nusap1"
"Kif15",0,1.21873498797703,0.995,0.271,0,"1","Kif15"
"Hmgb2",0,1.21367471618762,1,0.838,0,"1","Hmgb2"
"Cenpa",0,1.20783353912108,0.986,0.349,0,"1","Cenpa"
"Hmmr",0,1.20627461432165,0.961,0.193,0,"1","Hmmr"
"Ube2c",0,1.20530314079245,0.984,0.35,0,"1","Ube2c"
"Knl1",0,1.20415696182622,0.995,0.266,0,"1","Knl1"
"Kif11",0,1.20065078545886,0.986,0.205,0,"1","Kif11"
"Cdca8",0,1.16210664346274,0.996,0.318,0,"1","Cdca8"
"Pclaf",0,1.15822524220667,0.995,0.365,0,"1","Pclaf"
"Hjurp",0,1.15350703076653,0.999,0.557,0,"1","Hjurp"
"Birc5",0,1.12948621417766,0.996,0.337,0,"1","Birc5"
"Hist1h4d",0,1.12928707923082,0.963,0.271,0,"1","Hist1h4d"
"Hist1h1a",0,1.11033146828226,0.945,0.175,0,"1","Hist1h1a"
"Pbk",0,1.10002020785563,0.975,0.208,0,"1","Pbk"
"Mis18bp1",0,1.09623235075832,0.984,0.221,0,"1","Mis18bp1"
"Cdk1",0,1.09005101432943,0.994,0.467,0,"1","Cdk1"
"Kif20b",0,1.07982833921736,0.975,0.246,0,"1","Kif20b"
"Hist1h1d",0,1.07897960078978,0.97,0.261,0,"1","Hist1h1d"
"Tpx2",0,1.07816826860182,0.99,0.258,0,"1","Tpx2"
"Kif23",0,1.0747610205893,0.975,0.183,0,"1","Kif23"
"Incenp",0,1.06177319728652,0.995,0.479,0,"1","Incenp"
"Esco2",0,1.05448121322603,0.897,0.137,0,"1","Esco2"
"Anln",0,1.01124349848295,0.962,0.176,0,"1","Anln"
"Tmpo",0,1.009818796417,1,0.732,0,"1","Tmpo"
"Neil3",0,0.983206636842015,0.959,0.169,0,"1","Neil3"
"Cdca2",0,0.981769097005542,0.956,0.181,0,"1","Cdca2"
"Racgap1",0,0.977221230712912,0.972,0.272,0,"1","Racgap1"
"Aspm",0,0.961951811716358,0.933,0.179,0,"1","Aspm"
"Cdkn2c",0,0.959041814953333,0.961,0.311,0,"1","Cdkn2c"
"Ncapd2",0,0.934478441552075,0.982,0.309,0,"1","Ncapd2"
"Kif4",0,0.930593704732357,0.947,0.191,0,"1","Kif4"
"Ube2s",0,0.920297921450334,0.997,0.712,0,"1","Ube2s"
"Aurkb",0,0.915037954558303,0.955,0.204,0,"1","Aurkb"
"Cdca3",0,0.914462654932209,0.961,0.277,0,"1","Cdca3"
"Ccna2",0,0.912438920890045,0.957,0.226,0,"1","Ccna2"
"Spc24",0,0.906968700894094,0.973,0.307,0,"1","Spc24"
"Ncapg",0,0.90600662182404,0.937,0.186,0,"1","Ncapg"
"H2afz",0,0.895887539308907,1,0.983,0,"1","H2afz"
"Spc25",0,0.895752519247053,0.931,0.186,0,"1","Spc25"
"Bora",0,0.895334263882411,0.938,0.173,0,"1","Bora"
"Cit",0,0.889620077478553,0.965,0.285,0,"1","Cit"
"Sgo2a",0,0.887493422562873,0.929,0.171,0,"1","Sgo2a"
"Rrm2",0,0.867981907326693,0.815,0.21,0,"1","Rrm2"
"Ndc80",0,0.866974964267962,0.914,0.162,0,"1","Ndc80"
"Stmn1",0,0.862127613103429,1,0.914,0,"1","Stmn1"
"Bub1b",0,0.860980200574542,0.938,0.231,0,"1","Bub1b"
"Cks2",0,0.858423960146683,0.955,0.332,0,"1","Cks2"
"Ckap2l",0,0.857596643310895,0.955,0.21,0,"1","Ckap2l"
"H1f0",0,0.85751842318285,0.942,0.621,0,"1","H1f0"
"Ccnb1",0,0.83144568508103,0.912,0.191,0,"1","Ccnb1"
"Hist1h1c",0,0.828530057632987,0.991,0.608,0,"1","Hist1h1c"
"Diaph3",0,0.820240894023382,0.927,0.276,0,"1","Diaph3"
"Tk1",0,0.816406277459655,0.923,0.289,0,"1","Tk1"
"Kif22",0,0.811013171108065,0.925,0.181,0,"1","Kif22"
"Lmnb1",0,0.807042953579403,0.992,0.562,0,"1","Lmnb1"
"Nuf2",0,0.799093994972408,0.936,0.22,0,"1","Nuf2"
"Fbxo5",0,0.794208375108028,0.938,0.206,0,"1","Fbxo5"
"Shcbp1",0,0.793943660522966,0.921,0.182,0,"1","Shcbp1"
"Rrm1",0,0.779743492183576,0.962,0.469,0,"1","Rrm1"
"Plk1",0,0.779471055415672,0.87,0.141,0,"1","Plk1"
"Bub1",0,0.774474652818934,0.907,0.197,0,"1","Bub1"
"Ckap5",0,0.77095247541373,0.977,0.62,0,"1","Ckap5"
"Iqgap3",0,0.763938752977691,0.883,0.15,0,"1","Iqgap3"
"Ncapd3",0,0.754001048366365,0.939,0.429,0,"1","Ncapd3"
"H2afv",0,0.748863678003506,0.99,0.748,0,"1","H2afv"
"Tubb5",0,0.744666062557997,1,0.995,0,"1","Tubb5"
"Lockd",0,0.735815672029317,0.89,0.174,0,"1","Lockd"
"Ccnf",0,0.733600130611434,0.865,0.132,0,"1","Ccnf"
"Tubb4b",0,0.729192226155757,0.976,0.614,0,"1","Tubb4b"
"Hirip3",0,0.722930025985901,0.927,0.372,0,"1","Hirip3"
"Tacc3",0,0.720434981749583,0.94,0.332,0,"1","Tacc3"
"Tuba1b",0,0.712735446077437,1,0.964,0,"1","Tuba1b"
"Pimreg",0,0.710208954934214,0.866,0.174,0,"1","Pimreg"
"Dbf4",0,0.702267998305196,0.942,0.366,0,"1","Dbf4"
"Rangap1",0,0.701709775466733,0.961,0.489,0,"1","Rangap1"
"Cks1b",0,0.699571696915687,0.963,0.493,0,"1","Cks1b"
"Asf1b",0,0.67861760618543,0.882,0.236,0,"1","Asf1b"
"Haspin",0,0.67545781791878,0.904,0.277,0,"1","Haspin"
"Dlgap5",0,0.667745051689005,0.866,0.213,0,"1","Dlgap5"
"Brd8",0,0.658637045251471,0.973,0.618,0,"1","Brd8"
"Ccdc34",0,0.656581211005405,0.955,0.53,0,"1","Ccdc34"
"Rad21",0,0.651079724038691,0.967,0.61,0,"1","Rad21"
"Plk4",0,0.650802854425379,0.914,0.279,0,"1","Plk4"
"Ezh2",0,0.650624634402564,0.952,0.459,0,"1","Ezh2"
"Melk",0,0.649699985254343,0.83,0.144,0,"1","Melk"
"Ncapg2",0,0.649571592317092,0.851,0.241,0,"1","Ncapg2"
"Ckap2",0,0.64560138626443,0.83,0.207,0,"1","Ckap2"
"Smchd1",0,0.644213536555565,0.992,0.812,0,"1","Smchd1"
"Cbx5",0,0.641619569657063,0.981,0.626,0,"1","Cbx5"
"Rad51ap1",0,0.641560806462206,0.888,0.254,0,"1","Rad51ap1"
"Ncaph",0,0.629012585165911,0.868,0.284,0,"1","Ncaph"
"Hist1h3e",0,0.62809668981865,0.81,0.124,0,"1","Hist1h3e"
"Ankle1",0,0.627804466138059,0.779,0.088,0,"1","Ankle1"
"Cdkn2d",0,0.626035835933515,0.812,0.17,0,"1","Cdkn2d"
"Bub3",0,0.623163331795663,0.98,0.746,0,"1","Bub3"
"Aurka",0,0.622704712489812,0.813,0.136,0,"1","Aurka"
"Nucks1",0,0.621182529110891,0.997,0.861,0,"1","Nucks1"
"Apobec3",0,0.618717238750601,0.99,0.815,0,"1","Apobec3"
"Smc1a",0,0.618254719917072,0.997,0.889,0,"1","Smc1a"
"Sgo1",0,0.617343481496272,0.814,0.148,0,"1","Sgo1"
"G2e3",0,0.612355103744686,0.834,0.209,0,"1","G2e3"
"Spag5",0,0.610834533380528,0.808,0.111,0,"1","Spag5"
"Odf2",0,0.607629846473889,0.931,0.512,0,"1","Odf2"
"Dek",0,0.606429882823248,0.993,0.86,0,"1","Dek"
"Lbr",0,0.603966077519976,0.929,0.43,0,"1","Lbr"
"Tyms",0,0.602748272134023,0.907,0.42,0,"1","Tyms"
"Trim59",0,0.599578891635646,0.84,0.179,0,"1","Trim59"
"Gas2l3",0,0.599479784290728,0.792,0.208,0,"1","Gas2l3"
"Prr11",0,0.595481464408842,0.775,0.116,0,"1","Prr11"
"H3f3b",0,0.593561643384539,1,1,0,"1","H3f3b"
"Cep192",0,0.593489547191712,0.935,0.489,0,"1","Cep192"
"Anp32e",0,0.591533240835282,0.978,0.785,0,"1","Anp32e"
"Ccnb2",0,0.585436794422892,0.889,0.29,0,"1","Ccnb2"
"Foxm1",0,0.580893215659285,0.802,0.128,0,"1","Foxm1"
"Kif2c",0,0.580829705699645,0.813,0.163,0,"1","Kif2c"
"Hist1h2bj",0,0.566751928839089,0.747,0.097,0,"1","Hist1h2bj"
"Ccdc18",0,0.557088119209203,0.709,0.126,0,"1","Ccdc18"
"Cdk5rap2",0,0.55327492231823,0.847,0.315,0,"1","Cdk5rap2"
"Knstrn",0,0.553125001736962,0.842,0.274,0,"1","Knstrn"
"Cdc20",0,0.550373965432856,0.766,0.186,0,"1","Cdc20"
"Cdkn3",0,0.54997167262015,0.821,0.217,0,"1","Cdkn3"
"Hist1h4h",0,0.546663800477121,0.733,0.143,0,"1","Hist1h4h"
"Cep55",0,0.542481927275364,0.796,0.167,0,"1","Cep55"
"Hmgb1",0,0.537305831271512,1,0.995,0,"1","Hmgb1"
"Cenpc1",0,0.53261742656205,0.838,0.318,0,"1","Cenpc1"
"Jpt1",0,0.531865230070972,0.991,0.857,0,"1","Jpt1"
"Hmgn2",0,0.530283546540194,0.995,0.836,0,"1","Hmgn2"
"Arhgap11a",0,0.526144967601906,0.85,0.374,0,"1","Arhgap11a"
"Ctcf",0,0.526083867476088,0.967,0.772,0,"1","Ctcf"
"Troap",0,0.522186762786415,0.699,0.102,0,"1","Troap"
"Cenpm",0,0.520290121583009,0.801,0.239,0,"1","Cenpm"
"Kpna2",0,0.515687522114071,0.725,0.189,0,"1","Kpna2"
"E2f8",0,0.50635781848636,0.702,0.158,0,"1","E2f8"
"Cep295",0,0.502015565993467,0.848,0.377,0,"1","Cep295"
"Sae1",0,0.501295969714706,0.92,0.549,0,"1","Sae1"
"Cep128",0,0.497677067429905,0.785,0.227,0,"1","Cep128"
"Kif20a",0,0.490972284167492,0.762,0.148,0,"1","Kif20a"
"Stil",0,0.485204603600719,0.688,0.119,0,"1","Stil"
"Hist1h2be",0,0.479809255667273,0.654,0.158,0,"1","Hist1h2be"
"Ect2",0,0.475660126443373,0.718,0.133,0,"1","Ect2"
"Kif14",0,0.472284890179395,0.662,0.094,0,"1","Kif14"
"Ttk",0,0.465999509580903,0.706,0.11,0,"1","Ttk"
"Spdl1",0,0.460973316684795,0.658,0.148,0,"1","Spdl1"
"Ube2t",0,0.450009861087594,0.685,0.133,0,"1","Ube2t"
"Kif18a",0,0.449212424178019,0.645,0.112,0,"1","Kif18a"
"Hist1h2bm",0,0.44692491365976,0.628,0.083,0,"1","Hist1h2bm"
"Hist1h2ac",0,0.437645627611606,0.554,0.093,0,"1","Hist1h2ac"
"Zwilch",0,0.430983947956837,0.704,0.169,0,"1","Zwilch"
"Eri2",0,0.429766367814498,0.704,0.159,0,"1","Eri2"
"Depdc1a",0,0.426096199797607,0.637,0.087,0,"1","Depdc1a"
"Rhno1",0,0.421532497469113,0.767,0.296,0,"1","Rhno1"
"Mastl",0,0.409523880627123,0.632,0.109,0,"1","Mastl"
"C330027C09Rik",0,0.408527934875499,0.668,0.148,0,"1","C330027C09Rik"
"Trip13",0,0.40821872850449,0.656,0.153,0,"1","Trip13"
"Ndc1",0,0.405591946009361,0.679,0.19,0,"1","Ndc1"
"Cenpn",0,0.404845562369574,0.679,0.17,0,"1","Cenpn"
"Kif18b",0,0.403179107407394,0.619,0.087,0,"1","Kif18b"
"Cenpp",0,0.395501591580542,0.635,0.12,0,"1","Cenpp"
"Cenpl",0,0.389652550933615,0.618,0.101,0,"1","Cenpl"
"Kifc1",0,0.388550669662978,0.62,0.097,0,"1","Kifc1"
"Cdca5",0,0.385721003878831,0.619,0.109,0,"1","Cdca5"
"Hist1h3d",0,0.385305747010408,0.501,0.08,0,"1","Hist1h3d"
"Espl1",0,0.383909189198381,0.669,0.172,0,"1","Espl1"
"Ska1",0,0.370121871513988,0.597,0.089,0,"1","Ska1"
"Pif1",0,0.369898143994195,0.491,0.056,0,"1","Pif1"
"Arhgef39",0,0.365847038654384,0.612,0.102,0,"1","Arhgef39"
"Nek2",0,0.365096000035972,0.577,0.101,0,"1","Nek2"
"Gen1",0,0.363332980459,0.55,0.102,0,"1","Gen1"
"Efcab11",0,0.358118954153845,0.56,0.097,0,"1","Efcab11"
"Ticrr",0,0.34285688507633,0.582,0.124,0,"1","Ticrr"
"Hist2h2bb",0,0.342530899005439,0.497,0.046,0,"1","Hist2h2bb"
"Hist1h3b",0,0.340330405914535,0.487,0.046,0,"1","Hist1h3b"
"Mxd3",0,0.336892888104411,0.493,0.046,0,"1","Mxd3"
"Hist1h2bb",0,0.333983397674006,0.472,0.048,0,"1","Hist1h2bb"
"Hist1h3f",0,0.319165392053875,0.482,0.041,0,"1","Hist1h3f"
"Ska3",0,0.300187880929623,0.509,0.079,0,"1","Ska3"
"Hist1h2ak",0,0.294323405729617,0.446,0.049,0,"1","Hist1h2ak"
"Hyls1",0,0.289286104477208,0.456,0.059,0,"1","Hyls1"
"Hist1h2an",0,0.288432134148193,0.445,0.047,0,"1","Hist1h2an"
"Hist1h3i",0,0.265768691419485,0.406,0.041,0,"1","Hist1h3i"
"Tyrobp",0,-0.461712013095113,1,1,0,"1","Tyrobp"
"Wee1",4.94065645841247e-324,0.395742833413121,0.759,0.258,1.15715114912478e-319,"1","Wee1"
"Lin9",2.5135347505127e-313,0.415871148896392,0.751,0.276,5.8869497391758e-309,"1","Lin9"
"Hist2h2aa1",2.99423554010458e-313,0.296194452269707,0.466,0.074,7.01279905847895e-309,"1","Hist2h2aa1"
"Fam83d",2.9833487510576e-310,0.249784104776868,0.394,0.042,6.98730110985202e-306,"1","Fam83d"
"Mns1",2.1232217749471e-308,0.332375063453046,0.493,0.086,4.9727977191036e-304,"1","Mns1"
"Tagln2",2.23098389916967e-308,0.538723777669151,0.887,0.538,5.22518739024528e-304,"1","Tagln2"
"Eme1",2.6096317729818e-308,0.291727363552053,0.493,0.085,6.11201857550066e-304,"1","Eme1"
"Clspn",1.06393486551456e-306,0.502918837413113,0.77,0.274,2.49184184852165e-302,"1","Clspn"
"Tbc1d31",4.41216433854595e-304,0.443968812249849,0.806,0.358,1.03337300973085e-299,"1","Tbc1d31"
"Gm3550",3.07648954075571e-303,0.254879294238103,0.406,0.048,7.20544615340395e-299,"1","Gm3550"
"Mad2l1",5.8113988457613e-303,0.385033840696576,0.688,0.222,1.36108772366575e-298,"1","Mad2l1"
"Sapcd2",3.3218089214706e-298,0.282947678102921,0.446,0.065,7.78000867497629e-294,"1","Sapcd2"
"Atad2",1.31098351976655e-296,0.692578563357265,0.906,0.498,3.07045450164524e-292,"1","Atad2"
"Clta",4.54898204828981e-296,-0.399656344370293,1,1,1.06541708552996e-291,"1","Clta"
"Rfwd3",2.71758834037129e-294,0.410695151573532,0.744,0.297,6.36486365198361e-290,"1","Rfwd3"
"Cenpi",1.70329116665951e-293,0.287204767891793,0.494,0.092,3.98927824143323e-289,"1","Cenpi"
"Dnajc9",1.40677596444034e-292,0.463035346756953,0.885,0.466,3.29480998631572e-288,"1","Dnajc9"
"Reep4",1.16222401901511e-290,0.479061647836321,0.802,0.367,2.72204487493528e-286,"1","Reep4"
"Ftl1",1.28496238674075e-290,-0.636366891047559,1,1,3.00951040598552e-286,"1","Ftl1"
"Lsm2",1.08602245923836e-288,0.449988289317377,0.933,0.638,2.54357320178217e-284,"1","Lsm2"
"Blm",1.2043698113958e-287,0.387626929189605,0.694,0.227,2.82075453527011e-283,"1","Blm"
"Anp32b",5.0167468256036e-287,0.459719971022092,0.998,0.948,1.17497227402462e-282,"1","Anp32b"
"Ubald2",1.85841264668247e-285,0.450814177558835,0.898,0.563,4.35258825979501e-281,"1","Ubald2"
"Lcorl",3.35890013443029e-284,0.505192288340854,0.936,0.645,7.86688000484917e-280,"1","Lcorl"
"Cenpq",6.00205925167305e-284,0.358209950225962,0.665,0.204,1.40574229733435e-279,"1","Cenpq"
"Rbl1",3.22275455364548e-282,0.41794149180995,0.762,0.311,7.54801344009309e-278,"1","Rbl1"
"Haus3",2.22505027322716e-278,0.376588337671888,0.708,0.256,5.21129024492534e-274,"1","Haus3"
"Ulbp1",1.81066495714045e-275,0.423550559705365,0.755,0.3,4.24075839611864e-271,"1","Ulbp1"
"Gas6",2.71037656468798e-275,-0.497240003220295,0.981,0.991,6.34797295215572e-271,"1","Gas6"
"Pmf1",5.07769886935822e-274,0.413853004088264,0.846,0.456,1.18924785219239e-269,"1","Pmf1"
"Cenpw",2.13902188952678e-273,0.329724337506059,0.63,0.187,5.00980316746068e-269,"1","Cenpw"
"Lmf2",1.30140571490182e-271,0.374751930062199,0.738,0.303,3.04802232487156e-267,"1","Lmf2"
"Cep57l1",1.56881328929849e-268,0.377607121357463,0.69,0.255,3.67431760486598e-264,"1","Cep57l1"
"Nsd2",8.01430255556124e-267,0.509844966462268,0.959,0.68,1.877029801538e-262,"1","Nsd2"
"Pcnt",1.13281834897069e-265,0.498892020974914,0.806,0.434,2.65317385512424e-261,"1","Pcnt"
"Brca1",3.51349758508563e-261,0.360326179578584,0.607,0.173,8.22896269402906e-257,"1","Brca1"
"Ercc6l",4.02844178766687e-258,0.333857962284266,0.556,0.147,9.43501351089457e-254,"1","Ercc6l"
"Arl6ip1",6.57586623911668e-258,0.518398427874778,0.999,0.986,1.54013363186352e-253,"1","Arl6ip1"
"Miip",2.83564820236641e-255,0.424378964547063,0.75,0.349,6.64137165476238e-251,"1","Miip"
"Brip1",2.91244263253873e-254,0.352596490462905,0.585,0.164,6.82123188966897e-250,"1","Brip1"
"Ttf2",3.13166845041119e-254,0.350414501357632,0.677,0.249,7.33468067770805e-250,"1","Ttf2"
"Nrm",1.75585310057798e-252,0.429870028619317,0.929,0.611,4.11238354686368e-248,"1","Nrm"
"Hsp90aa1",8.57689120756723e-252,0.461470457418841,0.997,0.95,2.00879368972432e-247,"1","Hsp90aa1"
"Usp1",2.70623805422072e-248,0.425955876150058,0.889,0.499,6.33828014679035e-244,"1","Usp1"
"Itm2b",4.04189334643993e-247,-0.469297658560875,1,1,9.46651840669697e-243,"1","Itm2b"
"Gm42047",1.65399242358782e-246,0.786770754754679,0.553,0.306,3.87381565528504e-242,"1","Gm42047"
"Suv39h1",7.94726373128963e-244,0.335089265542956,0.67,0.245,1.86132863850534e-239,"1","Suv39h1"
"Fen1",1.0228528813525e-241,0.385449938379817,0.826,0.397,2.3956237334157e-237,"1","Fen1"
"Gtse1",6.03544090131871e-241,0.2038820134902,0.365,0.051,1.41356061349786e-236,"1","Gtse1"
"Npc2",9.74504555193598e-240,-0.408957615207466,1,0.998,2.28238711871893e-235,"1","Npc2"
"Ran",9.52692520132071e-239,0.401791928232345,0.999,0.954,2.23130115140132e-234,"1","Ran"
"Rnf26",4.81974556161373e-238,0.363723179217749,0.741,0.34,1.12883260798555e-233,"1","Rnf26"
"Ncaph2",2.05684520133236e-237,0.37921148394332,0.852,0.514,4.81733714604052e-233,"1","Ncaph2"
"Rtkn2",1.08723141554247e-234,0.247936586950073,0.423,0.082,2.54640469834202e-230,"1","Rtkn2"
"Cenpk",6.51600340993414e-234,0.29578629406836,0.649,0.224,1.52611315864067e-229,"1","Cenpk"
"Hist1h2ai",1.69051957912405e-233,0.179854837927677,0.313,0.034,3.95936590626645e-229,"1","Hist1h2ai"
"Hist1h2bh",9.26819703524369e-232,0.195065316158633,0.32,0.037,2.17070442762442e-227,"1","Hist1h2bh"
"Cdc25c",2.73065155390384e-229,0.220899530535834,0.391,0.066,6.39545900439819e-225,"1","Cdc25c"
"Cmc2",3.01775509527242e-228,0.341424983996268,0.721,0.323,7.06788420863753e-224,"1","Cmc2"
"Arl4c",1.97565041288779e-227,0.440307428372138,0.976,0.815,4.62717083202449e-223,"1","Arl4c"
"Rad54b",1.23185784052209e-225,0.247580593176747,0.446,0.095,2.88513424828679e-221,"1","Rad54b"
"Hist1h2bn",2.68314428441701e-225,0.179797792357319,0.291,0.029,6.28419222853309e-221,"1","Hist1h2bn"
"Xpo1",1.33399159126092e-224,0.390663433253588,0.925,0.623,3.12434170589219e-220,"1","Xpo1"
"Nde1",4.81242263940824e-222,0.394633492262267,0.812,0.424,1.1271175063758e-217,"1","Nde1"
"Oip5",1.41667424265443e-221,0.222031081815516,0.408,0.079,3.31799274372095e-217,"1","Oip5"
"Nsl1",1.35321563161934e-219,0.233087415881645,0.427,0.09,3.16936633081567e-215,"1","Nsl1"
"Fam111a",3.64907050946731e-219,0.419966051786711,0.958,0.689,8.54648804022339e-215,"1","Fam111a"
"E2f7",5.26373243667037e-218,0.281974595302788,0.427,0.089,1.23281877399257e-213,"1","E2f7"
"Lin54",5.42477112071046e-217,0.314701855658663,0.647,0.249,1.2705356441816e-212,"1","Lin54"
"Tuba1c",1.13270858203668e-215,0.432980408577412,0.821,0.475,2.65291676998812e-211,"1","Tuba1c"
"Skp2",5.31230365501748e-213,0.35397751194877,0.679,0.279,1.24419463904164e-208,"1","Skp2"
"Alyref",1.89648093114342e-212,0.379422814229327,0.937,0.717,4.44174798883101e-208,"1","Alyref"
"Slc43a3",1.75896443054314e-211,0.344123823889972,0.724,0.314,4.1196705927751e-207,"1","Slc43a3"
"Cd63",1.63663472830087e-210,-0.667061204639303,0.932,0.968,3.83316219715347e-206,"1","Cd63"
"Suz12",2.1211629250799e-210,0.386200619697721,0.914,0.656,4.96797568682964e-206,"1","Suz12"
"Timp2",7.60993032087665e-210,-0.51615757276721,0.866,0.938,1.78232178045252e-205,"1","Timp2"
"Gmnn",1.667301057427e-209,0.362216124203355,0.759,0.351,3.90498580659978e-205,"1","Gmnn"
"Cep112",3.55631078309589e-209,0.31173632094571,0.627,0.237,8.32923548508888e-205,"1","Cep112"
"Mis18a",1.05344405780476e-207,0.2780589867436,0.592,0.21,2.46727132778452e-203,"1","Mis18a"
"Nt5dc2",1.10911913161395e-207,0.365014832461171,0.8,0.449,2.59766791815302e-203,"1","Nt5dc2"
"Ska2",1.00346536953046e-206,0.236831581694796,0.466,0.118,2.35021624197728e-202,"1","Ska2"
"Hist1h2bf",1.21454535561759e-205,0.178618979816476,0.292,0.034,2.84458667739197e-201,"1","Hist1h2bf"
"Cep57",1.58073786577678e-205,0.344069607407333,0.738,0.362,3.7022461554358e-201,"1","Cep57"
"Hist1h2ad",1.97722753357601e-203,0.15902421499626,0.274,0.029,4.63086460638836e-199,"1","Hist1h2ad"
"Srrt",3.35484619879795e-203,0.363312309827355,0.957,0.737,7.85738528220468e-199,"1","Srrt"
"Sass6",1.37270464817806e-202,0.349684129187576,0.757,0.374,3.21501155649783e-198,"1","Sass6"
"Terf1",2.51871511446358e-202,0.3596589393344,0.74,0.371,5.89908266958516e-198,"1","Terf1"
"Chek2",1.44728933821531e-201,0.311073007336291,0.683,0.303,3.38969635903409e-197,"1","Chek2"
"Hdgf",1.56914587147524e-200,0.373302265617419,0.967,0.779,3.67509654558215e-196,"1","Hdgf"
"Fzr1",2.51419597444781e-199,0.325501344856964,0.721,0.349,5.88849839175423e-195,"1","Fzr1"
"Slc29a1",3.02656078345707e-199,0.37247010374923,0.955,0.775,7.08850801093481e-195,"1","Slc29a1"
"Hexa",5.61732204040637e-199,-0.401081615728564,0.993,0.995,1.31563299508358e-194,"1","Hexa"
"Slc24a5",9.57866467299e-198,0.311052042731143,0.654,0.277,2.24341905306099e-193,"1","Slc24a5"
"Syne2",9.18297196014446e-196,0.351154778856766,0.502,0.155,2.15074386278543e-191,"1","Syne2"
"Ptma",3.24183625813405e-194,0.316848340381245,1,1,7.59270470017577e-190,"1","Ptma"
"Rad51",9.69723179312501e-194,0.255993334988647,0.556,0.186,2.27118865826781e-189,"1","Rad51"
"Taf5",1.54422151553495e-193,0.25917315115245,0.518,0.163,3.61672121153441e-189,"1","Taf5"
"Rcc1",2.53921044991244e-193,0.291233699222432,0.644,0.268,5.94708479473993e-189,"1","Rcc1"
"Hist1h4c",1.18630443622081e-192,0.175191251280105,0.303,0.043,2.77844362007277e-188,"1","Hist1h4c"
"Kmt5a",4.67306934450601e-191,0.373777638300858,0.891,0.611,1.09447957117675e-186,"1","Kmt5a"
"Myef2",4.69210346623898e-190,0.339059987393066,0.769,0.404,1.09893755282783e-185,"1","Myef2"
"Parpbp",6.36940468321047e-190,0.20157096605148,0.349,0.064,1.49177827085472e-185,"1","Parpbp"
"Poc1a",1.33005896707769e-189,0.231027026893177,0.473,0.135,3.11513110679265e-185,"1","Poc1a"
"Hmgb3",3.87642677376715e-189,0.318641453188108,0.679,0.299,9.07897914684004e-185,"1","Hmgb3"
"Pom121",1.24350434339346e-187,0.339249184083053,0.829,0.501,2.91241152266182e-183,"1","Pom121"
"Psrc1",7.03470166985131e-187,0.249523749127901,0.407,0.097,1.64759747809587e-182,"1","Psrc1"
"Xkr5",7.75865824650176e-187,0.17365670583734,0.311,0.049,1.81715534791318e-182,"1","Xkr5"
"Arhgap19",3.91221724128512e-185,0.297620282966601,0.674,0.298,9.16280400081389e-181,"1","Arhgap19"
"BC030867",4.44657031451554e-185,0.176671097680281,0.325,0.055,1.04143123336269e-180,"1","BC030867"
"Fancd2",9.21288464287411e-185,0.20906626026995,0.387,0.087,2.15774971220755e-180,"1","Fancd2"
"Pkmyt1",1.03454766003941e-183,0.25683544685144,0.531,0.175,2.42301407457831e-179,"1","Pkmyt1"
"Hist1h4i",2.11757090852569e-183,0.286473412792622,0.628,0.249,4.95956282485802e-179,"1","Hist1h4i"
"Cdc25b",5.05787725278274e-182,0.265831624772655,0.402,0.095,1.18460543137425e-177,"1","Cdc25b"
"Ilf2",1.14593834865458e-181,0.340321788524081,0.907,0.626,2.68390220638388e-177,"1","Ilf2"
"Cenph",1.47837144640895e-181,0.258230750195204,0.529,0.174,3.46249376463439e-177,"1","Cenph"
"Hnrnpa3",1.63665726897521e-181,0.317955600175652,0.999,0.983,3.83321498966685e-177,"1","Hnrnpa3"
"Cntln",3.31719805590031e-181,0.369835415685677,0.689,0.329,7.76920956672411e-177,"1","Cntln"
"Gtpbp2",7.42252367482192e-181,0.364449320878873,0.831,0.534,1.73842926988004e-176,"1","Gtpbp2"
"Cdkn1b",9.52242410111059e-181,0.342507064329106,0.787,0.456,2.23024694872111e-176,"1","Cdkn1b"
"Zfp101",3.48818063006485e-180,0.260599752396719,0.547,0.19,8.16966785367488e-176,"1","Zfp101"
