id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,microglia_4|microglia_4,microglia_4|microglia_5,microglia_4|oligos_7,microglia_4|opcs_2,microglia_4|opcs_9,microglia_5|microglia_4,microglia_5|microglia_5,microglia_5|oligos_7,microglia_5|opcs_2,microglia_5|opcs_9,oligos_7|microglia_4,oligos_7|microglia_5,oligos_7|oligos_7,oligos_7|opcs_2,oligos_7|opcs_9,opcs_2|microglia_4,opcs_2|microglia_5,opcs_2|oligos_7,opcs_2|opcs_2,opcs_2|opcs_9,opcs_9|microglia_4,opcs_9|microglia_5,opcs_9|oligos_7,opcs_9|opcs_2,opcs_9|opcs_9
CPI-SS090FC28E1,EPHB6_EFNB2,simple:O15197,simple:P52799,ENSG00000106123,ENSG00000125266,TRUE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0BAB460FF,ANGPT2_TEK,simple:O15123,simple:Q02763,ENSG00000091879,ENSG00000120156,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0F3A089DE,SEMA3E_PLXND1,simple:O15041,simple:Q9Y4D7,ENSG00000170381,ENSG00000004399,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0EB5364D4,RSPO3_LGR6,simple:Q9BXY4,simple:Q9HBX8,ENSG00000146374,ENSG00000133067,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E5397537,RSPO1_LGR6,simple:Q2MKA7,simple:Q9HBX8,ENSG00000169218,ENSG00000133067,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0057AB387,RSPO1_LGR4,simple:Q2MKA7,simple:Q9BXB1,ENSG00000169218,ENSG00000205213,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS02572E1EF,NRG1_LGR4,simple:Q02297,simple:Q9BXB1,ENSG00000157168,ENSG00000205213,TRUE,TRUE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E075E5AF,NRG1_NETO2,simple:Q02297,simple:Q8NC67,ENSG00000157168,ENSG00000171208,TRUE,TRUE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0708FE6FF,NRG1_LSR,simple:Q02297,simple:Q86X29,ENSG00000157168,ENSG00000105699,TRUE,TRUE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0BD5C2A23,NRG1_ERBB4,simple:Q02297,simple:Q15303,ENSG00000157168,ENSG00000178568,TRUE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0D5E30C6C,NRG3_ERBB4,simple:P56975,simple:Q15303,ENSG00000185737,ENSG00000178568,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E063192D,NRG2_ERBB4,simple:O14511,simple:Q15303,ENSG00000158458,ENSG00000178568,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS053613259,NRG2_ERBB3,simple:O14511,simple:P21860,ENSG00000158458,ENSG00000065361,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0A28DCA72,CXCL12_CXCR4,simple:P48061,simple:P61073,ENSG00000107562,ENSG00000121966,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS05B92CCC4,CCR3_CCL28,simple:P51677,simple:Q9NRJ3,ENSG00000183625,ENSG00000151882,TRUE,TRUE,FALSE,guidetopharmacology.org,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B186A32C,CCR5_CCL7,simple:P51681,simple:P80098,ENSG00000160791,ENSG00000108688,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0CBA3DA0D,CCR3_CCL7,simple:P51677,simple:P80098,ENSG00000183625,ENSG00000108688,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS08B91FD2A,CCR1_CCL7,simple:P32246,simple:P80098,ENSG00000163823,ENSG00000108688,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS008EB600F,CCR2_CCL7,simple:P41597,simple:P80098,ENSG00000121807,ENSG00000108688,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0DA291AD9,GPR75_CCL5,simple:O95800,simple:P13501,ENSG00000119737,ENSG00000271503,TRUE,TRUE,FALSE,guidetopharmacology.org,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0111AAD26,EPHB2_EFNB1,simple:P29323,simple:P98172,ENSG00000133216,ENSG00000090776,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SC090068F7B,TSLP_TSLPR,simple:Q969D9,complex:TSLPR,ENSG00000145777,,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0F21D6CA0,EPHB4_EFNB1,simple:P54760,simple:P98172,ENSG00000196411,ENSG00000090776,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0DA366C78,EPHB2_EFNB3,simple:P29323,simple:Q15768,ENSG00000133216,ENSG00000108947,FALSE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS03E273233,ADORA2A_ENTPD1,simple:P29274,simple:P49961,ENSG00000128271,ENSG00000138185,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS03E48EFEA,C3_C3AR1,simple:P01024,simple:Q16581,ENSG00000125730,ENSG00000171860,TRUE,FALSE,TRUE,guidetopharmacology.org,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0A874F65F,LGR4_RSPO3,simple:Q9BXB1,simple:Q9BXY4,ENSG00000205213,ENSG00000146374,TRUE,TRUE,FALSE,guidetopharmacology.org,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS02B567BC7,PLXNC1_SEMA7A,simple:O60486,simple:O75326,ENSG00000136040,ENSG00000138623,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS082AD7B6A,FZD6_WNT5A,simple:O60353,simple:P41221,ENSG00000164930,ENSG00000114251,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS02371A6D6,VEGFA_EPHB2,simple:P15692,simple:P29323,ENSG00000112715,ENSG00000133216,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B9B3870A,VEGFA_FLT1,simple:P15692,simple:P17948,ENSG00000112715,ENSG00000102755,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS08A819670,CD70_GPRC5B,simple:P32970,simple:Q9NZH0,ENSG00000125726,ENSG00000167191,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS02EF3E1BA,TNFSF12_TNFRSF12A,simple:O43508,simple:Q9NP84,ENSG00000239697,ENSG00000006327,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS079DDF890,TNFSF12_TNFRSF25,simple:O43508,simple:Q93038,ENSG00000239697,ENSG00000215788,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS09E3F5044,EFNA5_EPHA5,simple:P52803,simple:P54756,ENSG00000184349,ENSG00000145242,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS086615F9B,CSF1_CELSR3,simple:P09603,simple:Q9NYQ7,ENSG00000184371,ENSG00000008300,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS09F973C1A,EPHA2_EFNA4,simple:P29317,simple:P52798,ENSG00000142627,ENSG00000243364,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0AB0604B5,EPHA3_EFNA3,simple:P29320,simple:P52797,ENSG00000044524,ENSG00000143590,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS07BECB892,EPHA2_EFNA3,simple:P29317,simple:P52797,ENSG00000142627,ENSG00000143590,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0BFD8E056,EFNB2_EPHB1,simple:P52799,simple:P54762,ENSG00000125266,ENSG00000154928,FALSE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS082ABF1EA,EFNB2_EPHB3,simple:P52799,simple:P54753,ENSG00000125266,ENSG00000182580,FALSE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0BEAB521F,EPHA3_EFNA5,simple:P29320,simple:P52803,ENSG00000044524,ENSG00000184349,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS02AFCED82,EPHA2_EFNA5,simple:P29317,simple:P52803,ENSG00000142627,ENSG00000184349,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0586F2596,EPHB2_EFNA5,simple:P29323,simple:P52803,ENSG00000133216,ENSG00000184349,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS08D0F9109,EFNB2_EPHB4,simple:P52799,simple:P54760,ENSG00000125266,ENSG00000196411,FALSE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0865716E5,EPHB4_EFNB3,simple:P54760,simple:Q15768,ENSG00000196411,ENSG00000108947,FALSE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS041888D39,EPHA3_EFNA4,simple:P29320,simple:P52798,ENSG00000044524,ENSG00000243364,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0008137B6,EFNA4_EPHA5,simple:P52798,simple:P54756,ENSG00000243364,ENSG00000145242,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS079EF5D9C,EFNA3_EPHA5,simple:P52797,simple:P54756,ENSG00000143590,ENSG00000145242,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0762B455F,EFNA1_EPHA5,simple:P20827,simple:P54756,ENSG00000169242,ENSG00000145242,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0898D7F7F,TNFRSF10B_TNFSF10,simple:O14763,simple:P50591,ENSG00000120889,ENSG00000121858,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0AD0ED887,TNFRSF11B_TNFSF10,simple:O00300,simple:P50591,ENSG00000164761,ENSG00000121858,TRUE,FALSE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS073F3FAD5,WNT5A_ROR1,simple:P41221,simple:Q01973,ENSG00000114251,ENSG00000185483,TRUE,FALSE,TRUE,IMEx,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS002673EFE,WNT5A_FZD3,simple:P41221,simple:Q9NPG1,ENSG00000114251,ENSG00000104290,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E7CBFD03,WNT5A_ROR2,simple:P41221,simple:Q01974,ENSG00000114251,ENSG00000169071,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0331C5A49,GDF11_ANTXR1,simple:O95390,simple:Q9H6X2,ENSG00000135414,ENSG00000169604,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0C56C483F,WNT5A_ANTXR1,simple:P41221,simple:Q9H6X2,ENSG00000114251,ENSG00000169604,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS028688B7B,EFNA5_EPHA7,simple:P52803,simple:Q15375,ENSG00000184349,ENSG00000135333,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0F81DBF22,EFNA4_EPHA7,simple:P52798,simple:Q15375,ENSG00000243364,ENSG00000135333,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0D5DBB634,EFNA3_EPHA7,simple:P52797,simple:Q15375,ENSG00000143590,ENSG00000135333,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0EBFE1854,EFNA1_EPHA4,simple:P20827,simple:P54764,ENSG00000169242,ENSG00000116106,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS03E450F99,EFNA1_EPHA7,simple:P20827,simple:Q15375,ENSG00000169242,ENSG00000135333,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0D4F593F1,WNT5A_EPHA7,simple:P41221,simple:Q15375,ENSG00000114251,ENSG00000135333,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS05550A895,WNT7A_FZD5,simple:O00755,simple:Q13467,ENSG00000154764,ENSG00000163251,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E32BEF02,WNT5A_FZD5,simple:P41221,simple:Q13467,ENSG00000114251,ENSG00000163251,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS01C2BA5C8,WNT5A_FZD2,simple:P41221,simple:Q14332,ENSG00000114251,ENSG00000180340,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0D81C6C1D,WNT7B_FZD1,simple:P56706,simple:Q9UP38,ENSG00000188064,ENSG00000157240,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E7523314,WNT3_FZD1,simple:P56703,simple:Q9UP38,ENSG00000108379,ENSG00000157240,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0CA020C34,WNT4_FZD1,simple:P56705,simple:Q9UP38,ENSG00000162552,ENSG00000157240,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B2D5BA95,WNT5A_FZD1,simple:P41221,simple:Q9UP38,ENSG00000114251,ENSG00000157240,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0D782F60B,WNT4_FZD8,simple:P56705,simple:Q9H461,ENSG00000162552,ENSG00000177283,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0CB4F2FE4,PDGFB_ADGRV1,simple:P01127,simple:Q8WXG9,ENSG00000100311,ENSG00000164199,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS01DCC7684,EFNA2_EPHA7,simple:O43921,simple:Q15375,ENSG00000099617,ENSG00000135333,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0CB863B46,WNT5A_PTPRK,simple:P41221,simple:Q15262,ENSG00000114251,ENSG00000152894,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS05B4EB419,EFNA3_EPHA4,simple:P52797,simple:P54764,ENSG00000143590,ENSG00000116106,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0FC01B947,EFNA5_EPHA4,simple:P52803,simple:P54764,ENSG00000184349,ENSG00000116106,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS09CA492BA,EFNA1_EPHA3,simple:P20827,simple:P29320,ENSG00000169242,ENSG00000044524,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0C875BA24,EFNA2_EPHA3,simple:O43921,simple:P29320,ENSG00000099617,ENSG00000044524,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS046F6F0C1,EFNA1_EPHA2,simple:P20827,simple:P29317,ENSG00000169242,ENSG00000142627,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0A81A3626,WNT7A_LDLR,simple:O00755,simple:P01130,ENSG00000154764,ENSG00000130164,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0C412B7DE,CD70_TNFRSF17,simple:P32970,simple:Q02223,ENSG00000125726,ENSG00000048462,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0C03F7CDC,VEGFA_KDR,simple:P15692,simple:P35968,ENSG00000112715,ENSG00000128052,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS06AA638A8,CD72_SEMA4D,simple:P21854,simple:Q92854,ENSG00000137101,ENSG00000187764,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0CCCF7C69,PLXNB1_SEMA4D,simple:O43157,simple:Q92854,ENSG00000164050,ENSG00000187764,TRUE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS035E5A708,DLL3_NOTCH3,simple:Q9NYJ7,simple:Q9UM47,ENSG00000090932,ENSG00000074181,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0938C6980,DLL4_NOTCH3,simple:Q9NR61,simple:Q9UM47,ENSG00000128917,ENSG00000074181,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0659DBE72,EFNA4_EPHA4,simple:P52798,simple:P54764,ENSG00000243364,ENSG00000116106,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0F21DBF93,SCGB3A1_NOTCH3,simple:Q96QR1,simple:Q9UM47,ENSG00000161055,ENSG00000074181,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS047232C64,DLL1_NOTCH3,simple:O00548,simple:Q9UM47,ENSG00000198719,ENSG00000074181,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0837E9F59,JAG1_NOTCH4,simple:P78504,simple:Q99466,ENSG00000101384,ENSG00000204301,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0FB5FE587,DLL1_NOTCH4,simple:O00548,simple:Q99466,ENSG00000198719,ENSG00000204301,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS060B82BBC,JAG1_NOTCH2,simple:P78504,simple:Q04721,ENSG00000101384,ENSG00000134250,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0A683CBC1,WNT7B_FZD10,simple:P56706,simple:Q9ULW2,ENSG00000188064,ENSG00000111432,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B8083B44,WNT7B_FZD4,simple:P56706,simple:Q9ULV1,ENSG00000188064,ENSG00000174804,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS016B7C7D6,BMP2_SMO,simple:P12643,simple:Q99835,ENSG00000125845,ENSG00000128602,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0A69F13A3,WNT4_SMO,simple:P56705,simple:Q99835,ENSG00000162552,ENSG00000128602,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0D1AE5C79,FGFR3_EPHA4,simple:P22607,simple:P54764,ENSG00000068078,ENSG00000116106,TRUE,TRUE,TRUE,"I2D,InnateDB-All",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS087E0E3FB,EFNB2_EPHA4,simple:P52799,simple:P54764,ENSG00000125266,ENSG00000116106,FALSE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B99F22A2,JAG1_NOTCH3,simple:P78504,simple:Q9UM47,ENSG00000101384,ENSG00000074181,FALSE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SC047CEF2DD,CRLF2_TSLPR,simple:Q9HC73,complex:TSLPR,ENSG00000205755,,TRUE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
