id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,microglia_4|microglia_4,microglia_4|microglia_5,microglia_4|oligos_7,microglia_4|opcs_2,microglia_4|opcs_9,microglia_5|microglia_4,microglia_5|microglia_5,microglia_5|oligos_7,microglia_5|opcs_2,microglia_5|opcs_9,oligos_7|microglia_4,oligos_7|microglia_5,oligos_7|oligos_7,oligos_7|opcs_2,oligos_7|opcs_9,opcs_2|microglia_4,opcs_2|microglia_5,opcs_2|oligos_7,opcs_2|opcs_2,opcs_2|opcs_9,opcs_9|microglia_4,opcs_9|microglia_5,opcs_9|oligos_7,opcs_9|opcs_2,opcs_9|opcs_9
CPI-SS01A6823FA,PF4_CXCR3,simple:P02776,simple:P49682,ENSG00000163737,ENSG00000186810,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0FDAB7BA8,CXCL10_DPP4,simple:P02778,simple:P27487,ENSG00000169245,ENSG00000197635,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS07EC65CED,CCL7_ACKR1,simple:P80098,simple:Q16570,ENSG00000108688,ENSG00000213088,TRUE,FALSE,TRUE,I2D,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS05B7D3407,CCL5_ACKR1,simple:P13501,simple:Q16570,ENSG00000271503,ENSG00000213088,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0A021DB6E,CCL5_CCR1,simple:P13501,simple:P32246,ENSG00000271503,ENSG00000163823,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0F6B529A1,CCL5_CCR3,simple:P13501,simple:P51677,ENSG00000271503,ENSG00000183625,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS08BFF4F9B,CCL3_CCR3,simple:P10147,simple:P51677,ENSG00000277632,ENSG00000183625,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0B0AC1603,CCL24_CCR3,simple:O00175,simple:P51677,ENSG00000106178,ENSG00000183625,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS03FA58286,TNF_VSIR,simple:P01375,simple:Q9H7M9,ENSG00000232810,ENSG00000107738,TRUE,FALSE,TRUE,"IMEx,IntAct",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0CF0E4DE9,CCL2_CCR2,simple:P13500,simple:P41597,ENSG00000108691,ENSG00000121807,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
